,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,   156,     3,     2,     0,     2,     0,     0,     2,     3,     6,     6,     5,     3,    17,     8,    35,     9,    25,    26,    44
comp.graphics,     3,   277,    80,    12,    15,    59,     7,     2,     3,     7,     3,    11,    27,     8,    15,     6,     0,     1,     2,     3
comp.os.ms-windows.misc,     0,     0,     1,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
comp.sys.ibm.pc.hardware,     1,    19,   132,   260,    47,    13,    24,     0,     1,     2,     1,     3,    32,     3,     1,     1,     0,     1,     0,     2
comp.sys.mac.hardware,     0,    18,    44,    60,   246,    11,    21,     2,     2,     0,     1,     8,    18,     0,     1,     0,     0,     0,     0,     0
comp.windows.x,     1,    23,    78,     8,     3,   281,     0,     1,     1,     0,     0,     3,     3,     0,     1,     0,     1,     2,     1,     0
misc.forsale,     0,     1,     4,    10,    13,     2,   291,    12,     4,     7,     1,     3,    13,     1,     2,     0,     2,     1,     0,     0
rec.autos,     3,     4,     3,     2,     6,     1,    10,   277,    33,     7,     2,     5,    20,    13,    10,     0,     5,     4,     7,     4
rec.motorcycles,     7,     2,     6,     2,     3,     2,     5,    28,   289,     5,     5,     6,    11,    10,     8,     1,     9,     6,     6,     2
rec.sport.baseball,     4,     3,     1,     1,     0,     1,     2,     3,     8,   311,    39,     1,     0,     3,     3,     1,     3,     2,     0,     2
rec.sport.hockey,    11,     7,    15,     7,    14,    10,     9,    28,    16,    25,   317,    17,    13,    17,    17,    15,    11,     6,     8,     7
sci.crypt,     3,    10,     5,     4,     5,     3,     1,     3,     0,     3,     0,   266,    21,     3,     2,     1,    11,     4,     3,     1
sci.electronics,     1,     2,     1,    22,    16,     2,     9,    16,    12,     1,     3,    11,   204,    11,    12,     2,     5,     2,     2,     2
sci.med,     4,     6,     4,     2,     5,     1,     2,     3,     0,     3,     2,     6,    11,   281,     8,     3,     3,     2,     6,     4
sci.space,     8,     7,     6,     0,     5,     3,     3,     3,     2,     1,     1,     4,     8,     4,   270,     3,     3,     0,     7,     5
soc.religion.christian,    56,     2,     3,     0,     2,     2,     0,     6,     6,     8,     6,     4,     4,     8,     7,   298,    16,    17,     5,    77
talk.politics.guns,     9,     0,     0,     1,     1,     1,     3,     2,     8,     4,     2,    15,     1,     3,     5,     3,   228,    10,    83,    24
talk.politics.mideast,    12,     0,     0,     0,     1,     0,     1,     2,     2,     2,     1,     9,     0,     4,     2,     2,    12,   261,    15,     9
talk.politics.misc,     9,     3,     4,     1,     0,     1,     1,     5,     8,     4,     8,    17,     3,     8,    20,     4,    22,    23,   127,     7
talk.religion.misc,    31,     2,     5,     0,     1,     1,     1,     1,     0,     1,     1,     2,     1,     2,     2,    23,    24,     9,    12,    58
